1293032308	20260206	202602	2026	2026.0986	JUD	CHIEF JUSTICE						JUD			LEG	PARLIAMENT						LEG			1	173	173	17	4	-5.0	5	1	5	-4.54545454545454	1	Maldives	MV	MV		3.2	73	MV	1	Maldives	MV	MV		3.2	73	MV	1	Maldives	MV	MV		3.2	73	MV	20260308003000	https://maldivesindependent.com/politics/un-rights-chief-urges-maldives-to-completely-reverse-emergency-measures-136299
1293032309	20260301	202603	2026	2026.1671	DEU	GERMAN	DEU								IGOEUREEC	THE EU	EUR	EEC				IGO			0	1121	112	11	3	-2.0	2	1	2	-2.44498777506112	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20260308003000	http://www.massachusettssun.com/news/278907913/german-media-giant-buys-uks-top-conservative-paper
1293032310	20260308	202603	2026	2026.1863											AGR	FARMER						AGR			1	020	020	02	1	3.0	3	1	3	0.42553191489362	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20260308003000	https://www.aginfo.net/report/64858/20/California-Snowpack-Low-and-New-10-Tariffs
1293032311	20260308	202603	2026	2026.1863											ALB	ALBANIA	ALB								1	042	042	04	1	1.9	1	1	1	3.49526066350711	0								4	Saranda, Vlore, Albania	AL	AL51	4069	39.8756	20.0053	-107914	1	Greece	GR	GR		39	22	GR	20260308003000	https://www.travelandleisure.com/albania-travel-guide-11916666
1293032312	20260308	202603	2026	2026.1863											ALB	ALBANIA	ALB								0	042	042	04	1	1.9	1	1	1	3.49526066350711	0								4	Ksamil, Vlore, Albania	AL	AL51	4064	39.7689	19.9997	9089773	4	Ksamil, Vlore, Albania	AL	AL51	4064	39.7689	19.9997	9089773	20260308003000	https://www.travelandleisure.com/albania-travel-guide-11916666
1293032313	20260308	202603	2026	2026.1863											ALB	ALBANIA	ALB								1	042	042	04	1	1.9	1	1	1	3.49526066350711	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20260308003000	https://www.travelandleisure.com/albania-travel-guide-11916666
1293032314	20260308	202603	2026	2026.1863											ALB	ALBANIA	ALB								0	043	043	04	1	2.8	1	1	1	3.49526066350711	0								4	Ksamil, Vlore, Albania	AL	AL51	4064	39.7689	19.9997	9089773	4	Ksamil, Vlore, Albania	AL	AL51	4064	39.7689	19.9997	9089773	20260308003000	https://www.travelandleisure.com/albania-travel-guide-11916666
1293032315	20260308	202603	2026	2026.1863											AUS	AUSTRALIAN	AUS								1	020	020	02	1	3.0	10	2	10	-2.31202033994067	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20260308003000	https://www.abc.net.au/news/2026-03-08/government-request-military-asset-gulf-states-iran-war-/106429450
1293032316	20260308	202603	2026	2026.1863											AUS	AUSTRALIAN	AUS								0	020	020	02	1	3.0	2	1	2	-2.05047318611987	0								1	Australia	AS	AS		-25	135	AS	1	Iraq	IZ	IZ		33	44	IZ	20260308003000	https://www.abc.net.au/news/2026-03-08/government-request-military-asset-gulf-states-iran-war-/106429450
1293032317	20260308	202603	2026	2026.1863											AUS	MELBOURNE	AUS								1	036	036	03	1	4.0	2	1	2	0	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20260308003000	https://www.abc.net.au/news/2026-03-08/sprit-of-tasmania-v-leaves-scotland/106429486
1293032318	20260308	202603	2026	2026.1863											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	-0.63157894736842	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20260308003000	https://www.the-independent.com/arts-entertainment/tv/news/seth-macfarlane-ted-season-three-b2934074.html
